deliverCount,workYear,salaryMin,financeStage,pvScore,city,companyLogo,district,industryField,education,createTime,companySize,positionName,companyName,jobNature,companyLabelList,positionId,salaryAvg,salaryMax,showCount,positionType,positionAdvantage
0,不限,2,初创型(未融资),40.210025502801564,石家庄,image1/M00/2B/D4/Cgo8PFVxciSAM0zUAARNR7fgDrs831.png?cc=0.36231047729961574,桥东区,电子商务,学历不限,2016-07-03 14:49:37,少于15人,助理,三竿子,兼职,"技能培训,节日礼物,年底双薪,专项奖金",2012201,3,4,102,行政,工作时间自由，发展空间大
3,不限,5,初创型(未融资),48.54183258896766,石家庄,image1/M00/2B/D4/Cgo8PFVxciSAM0zUAARNR7fgDrs831.png?cc=0.36231047729961574,桥东区,电子商务,学历不限,2016-07-03 14:49:36,少于15人,创业,三竿子,兼职,"技能培训,节日礼物,年底双薪,专项奖金",2012203,6,8,99,市场/营销,时间自由，发展空间大
0,3-5年,15,初创型(天使轮),18.843575031003773,深圳,i/image/M00/2C/E2/Cgp3O1c6lWeAZKCjAADalhxsqsQ143.png,南山区,游戏 · 移动互联网,大专,2016-07-03 14:48:50,50-150人,Java服务器开发,幻界游戏,全职,"年底双薪,午餐补助,定期体检,带薪年假",1496939,17,20,108,后端开发,弹性上班时间 待遇优厚 气氛好
0,1-3年,6,初创型(未融资),7.156162767558251,北京,i/image/M00/3F/9A/Cgp3O1d4rROATeTqAADrLSV2gF8612.png,朝阳区,O2O · 电子商务,大专,2016-07-03 14:48:36,15-50人,文案策划,HelloTomorrow,全职,"专项奖金,绩效奖金,弹性工作,技能培训",2043157,8,10,56,编辑,高颜值高水平团队，氛围好，待遇佳
2,1-3年,4,成长型(不需要融资),52.1449193901666,武汉,image1/M00/00/6A/CgYXBlTUXXaAOJAMAABj62pAHts374.jpg,江汉区,移动互联网,大专,2016-07-03 14:47:13,50-150人,销售经理（员工宿舍）,麦格网,全职,"技能培训,绩效奖金,年度旅游,岗位晋升",1909695,6,8,280,销售,员工旅游 员工宿舍 社保 带薪年假 节日福利
3,1-3年,3,成长型(不需要融资),45.708077719809374,武汉,image1/M00/00/6A/CgYXBlTUXXaAOJAMAABj62pAHts374.jpg,江汉区,移动互联网,大专,2016-07-03 14:47:05,50-150人,人事专员兼前台,麦格网,全职,"技能培训,绩效奖金,年度旅游,岗位晋升",2010434,3,4,272,人力资源,员工宿舍 社保 员工旅游 工作轻松 带薪年假
1,1-3年,6,初创型(天使轮),123.44148285413,上海,image2/M00/09/6B/CgqLKVYJCOOAHEW6AAAF7zInH8Q817.png,徐汇区,医疗健康,本科,2016-07-03 14:46:22,少于15人,产品专员（医学信息）,查河信科,全职,"股票期权,绩效奖金,扁平管理,五险一金",1614034,7,8,368,产品经理,医学IT信息技术创新、价值创造、影响深远
0,3-5年,15,成熟型(D轮及以上),0.041265247285821,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:08:13,500-2000人,PHP（互联网新产品）,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043184,17,20,4,后端开发,半年调薪 福利待遇佳 境外旅游 包四餐
0,1-3年,10,成熟型(D轮及以上),0.041265247285821,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:08:08,500-2000人,Java开发,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043183,12,15,4,后端开发,美味三餐 全球游 半年调薪
0,1-3年,3,初创型(未融资),44.876495340436584,青岛,i/image/M00/2B/63/Cgp3O1c0gFGAdMHdAAAKNspDm_o119.png,市南区,移动互联网 · 电子商务,本科,2016-07-03 15:05:28,15-50人,产品运营,好保网络,全职,,1846538,4,6,28,运营,五险一金、快速成长、优秀团队
0,3-5年,12,初创型(天使轮),40.18466590302244,上海,image2/M00/09/6B/CgqLKVYJCOOAHEW6AAAF7zInH8Q817.png,徐汇区,医疗健康,大专,2016-07-03 14:46:20,少于15人,Java研发工程师(互联网医疗),查河信科,全职,"股票期权,绩效奖金,扁平管理,五险一金",1226443,16,20,142,后端开发,医疗信息创新项目，前景好，空间大，团队强
1,3-5年,8,初创型(天使轮),13.558750546179363,上海,image2/M00/09/6B/CgqLKVYJCOOAHEW6AAAF7zInH8Q817.png,,医疗健康,大专,2016-07-03 14:46:18,少于15人,测试工程师,查河信科,全职,"股票期权,绩效奖金,扁平管理,五险一金",1961717,11,15,71,测试,医疗信息化，个人能力塑造
0,3-5年,10,成熟型(不需要融资),0.8855196758240046,上海,image1/M00/34/5F/CgYXBlWXVPSAVjfKAAAcbZND2js676.jpg?cc=0.25363044161349535,徐汇区,文化娱乐,本科,2016-07-03 14:43:03,500-2000人,项目经理,百视通,全职,"交通补助,午餐补助,通讯津贴,绩效奖金",2043156,12,15,27,项目管理,上市公司 带薪年假 绩效工资 通信补贴
5,不限,4,初创型(不需要融资),54.540094446191844,上海,image2/M00/0A/16/CgqLKVYSOTiADn_QAAATBOHtWo4593.gif?cc=0.5633426373824477,虹口区,电子商务 · 其他,学历不限,2016-07-03 14:41:05,15-50人,珠宝顾问助理（实体店）,梵誓珠宝,全职,"带薪年假,绩效奖金,年度旅游,年终分红",1467578,6,8,79,销售,来一起玩着玩着，顺便把珠宝行业改变一下
3,不限,6,初创型(不需要融资),33.66546167504149,上海,image2/M00/0A/16/CgqLKVYSOTiADn_QAAATBOHtWo4593.gif?cc=0.5633426373824477,虹口区,电子商务 · 其他,学历不限,2016-07-03 14:41:03,15-50人,珠宝定制顾问（实体店）,梵誓珠宝,全职,"带薪年假,绩效奖金,年度旅游,年终分红",1467608,9,12,67,销售,来一起玩着玩着，顺便把珠宝行业改变一下
0,1年以下,6,成长型(A轮),1.1506889296166767,上海,image2/M00/05/EE/CgpzWlX4yiaAPXlHAAE6iPLmRcw429.jpg,普陀区,移动互联网 · O2O,大专,2016-07-03 14:39:23,500-2000人,房屋租赁,爱上租,全职,"技能培训,节日礼物,带薪年假,岗位晋升",2043155,9,12,13,销售,薪资5300+提成+住房补贴+高温补贴
